2023-04-06 15:30:01,754 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:30:03,396 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:30:04,982 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:30:04,982 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:30:51,040 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:30:51,078 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:30:51,078 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:30:52,874 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:07,222 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:07,222 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:31:16,974 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:16,998 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:16,998 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:31:18,444 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:32,650 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:32,650 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:31:40,081 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:40,118 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:40,118 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:31:41,002 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:55,399 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:55,399 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:31:59,491 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:31:59,497 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:31:59,497 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:32:00,569 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:34:17,350 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:34:17,350 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:34:17,392 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:34:17,394 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:34:17,394 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:34:29,937 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:34:29,955 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:34:29,955 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:34:31,423 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:34:46,499 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:34:46,499 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:35:05,059 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:35:05,060 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:35:05,060 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:35:12,870 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:35:12,871 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:35:12,871 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:35:55,092 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:35:55,115 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:35:55,115 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:35:58,433 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
